,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sid,ライン番号,発話文番号,発話文終了,話者,発       話       内       容,,コーディング項目2,コーディング項目3,コーディング項目4,コーディング項目5,コーディング項目6,コーディング項目7,コーディング項目8,コーディング項目9,コーディング項目10,コーディング項目11,コーディング項目12,コーディング項目13,コーディング項目14,コーディング項目15,コーディング項目16,コーディング項目17,コーディング項目18,コーディング項目19,コーディング項目20,
,,1,18,18,*,JF012,あ、ほんと。,,,,,,,,,,,,,,,,,,,,,
,,1,19,19,*,JF012,「地名1」。,,,,,,,,,,,,,,,,,,,,,
,,2,20,20,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,21,21,*,JF011,「地名1」にした<んだ、結局>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,22,22,*,JF012,<うんうんうん>{>}。,,,,,,,,,,,,,,,,,,,,,
,,2,23,23,*,JF011,ほんとー。,,,,,,,,,,,,,,,,,,,,,
,,2,24,24,*,JF011,最近探してて、もうなんか、月末には出るからとか言って(うん)、あ、結局決めたんだね。,,,,,,,,,,,,,,,,,,,,,
,,1,25,25,*,JF012,そう。,,,,,,,,,,,,,,,,,,,,,
,,2,26,26,*,JF011,難しいな、これ[話題のこと]。,,,,,,,,,,,,,,,,,,,,,
,,1,27,27,*,JF012,これ、ね、難しいね。,,,,,,,,,,,,,,,,,,,,,
,,2,28,28,*,JF011,普段<相手に対して>{<}[独り言のように話題の紙を読む]。,,,,,,,,,,,,,,,,,,,,,
,,1,29,29,*,JF012,<どん、どんな機会>{>}よ。,,,,,,,,,,,,,,,,,,,,,
,,2,30,30-1,/,JF011,"相手って,,",,,,,,,,,,,,,,,,,,,,,
,,1,31,31,*,JF012,相手って。,,,,,,,,,,,,,,,,,,,,,
,,2,32,30-2,*,JF011,きみだよね。,,,,,,,,,,,,,,,,,,,,,
,,1,33,32,*,JF012,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,34,33,*,JF011,そうだよね。,,,,,,,,,,,,,,,,,,,,,
,,2,35,34,*,JF011,何?、先生?<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,1,36,35,*,JF012,先生<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,1,37,36,*,JF012,いやー、なんでもない。,,,,,,,,,,,,,,,,,,,,,
,,2,38,37,*,JF011,ねー。,,,,,,,,,,,,,,,,,,,,,
,,1,39,38,*,JF012,<んー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,40,39,*,JF011,<まー>{>}、ほっとくか。,,,,,,,,,,,,,,,,,,,,,
,,1,41,40,*,JF012,ほっとこー。,,,,,,,,,,,,,,,,,,,,,
,,2,42,41,*,JF011,まー、言えたら言おう。,,,,,,,,,,,,,,,,,,,,,
,,1,43,42,*,JF012,じゃあ、鶴でも######。,,,,,,,,,,,,,,,,,,,,,
,,2,44,43,*,JF011,そっか。,,,,,,,,,,,,,,,,,,,,,
,,2,45,44,*,JF011,あ、じゃあダメだ。,,,,,,,,,,,,,,,,,,,,,
,,2,46,45,*,JF011,鶴はちょっとまたかぶるから。,,,,,,,,,,,,,,,,,,,,,
,,1,47,46,*,JF012,そうだねー。,,,,,,,,,,,,,,,,,,,,,
,,2,48,47,*,JF011,あ、しかも最初こうやって折んなきゃだめなのか。,,,,,,,,,,,,,,,,,,,,,
,,1,49,48,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,2,50,49,*,JF011,じゃあ、私が紙風船でもつくるか、しょうがねーから。,,,,,,,,,,,,,,,,,,,,,
,,1,51,50-1,/,JF012,"もう、「人名1」んち、「地名1」になる<から>{<},,",,,,,,,,,,,,,,,,,,,,,
,,2,52,51,*,JF011,<ねー>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,53,50-2,*,JF012,今度みんなで遊びに行こう<よ>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,54,52,*,JF011,<ねー>{>}。,,,,,,,,,,,,,,,,,,,,,
,,2,55,53,*,JF011,ほんとだよー。,,,,,,,,,,,,,,,,,,,,,
,,1,56,54,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,2,57,55,*,JF011,絶対行こうよー。,,,,,,,,,,,,,,,,,,,,,
,,2,58,56,*,JF011,いいなー、「地名1」=。,,,,,,,,,,,,,,,,,,,,,
,,2,59,57,*,JF011,=ちょっとうらやましんだけど。,,,,,,,,,,,,,,,,,,,,,
,,1,60,58,*,JF012,うそ。,,,,,,,,,,,,,,,,,,,,,
,,2,61,59,*,JF011,わたし、あそこの、「地名2」のさー、「施設名1」の奥のあたりに住みたくてさー。,,,,,,,,,,,,,,,,,,,,,
,,1,62,60,*,JF012,うん<うんうん>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,63,61,*,JF011,<あそこ>{>}ら辺、「地名1」だと思うんだけどー。,,,,,,,,,,,,,,,,,,,,,
,,1,64,62,*,JF012,あ、そうなんだ。,,,,,,,,,,,,,,,,,,,,,
,,2,65,63,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,66,64,*,JF011,なんか(うん)、いいよね。,,,,,,,,,,,,,,,,,,,,,
,,2,67,65,*,JF011,でも、なんか、夜の公園て、危ないかな、ちょっと。,,,,,,,,,,,,,,,,,,,,,
,,1,68,66,*,JF012,あー、でもー、友達はねー(うん)、なんか、うろうろしたりして。,,,,,,,,,,,,,,,,,,,,,
,,2,69,67,*,JF011,あ、ほんとー。,,,,,,,,,,,,,,,,,,,,,
,,1,70,68,*,JF012,うん。,,,,,,,,,,,,,,,,,,,,,
,,1,71,69,*,JF012,“お酒飲んでる人がいっぱいいるよー”とか<言ってた>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,72,70,*,JF011,<あ、そう>{>}なんだー。,,,,,,,,,,,,,,,,,,,,,
,,2,73,71,*,JF011,ちょっと怖いね、それね。,,,,,,,,,,,,,,,,,,,,,
,,1,74,72-1,/,JF012,"あ、###若い子でね,,",,,,,,,,,,,,,,,,,,,,,
,,2,75,73,*,JF011,<あ、そうなんだ>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,76,72-2,*,JF012,<で、何か>{>}ギターもって“一緒に飲む?”とか<言って>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,77,74,*,JF011,<へー>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,78,75,*,JF012,人とかいるって。,,,,,,,,,,,,,,,,,,,,,
,,2,79,76,*,JF011,へー。,,,,,,,,,,,,,,,,,,,,,
,,2,80,77,*,JF011,折っちゃえ、折っちゃえ。,,,,,,,,,,,,,,,,,,,,,
,,1,81,78,*,JF012,そっかー。,,,,,,,,,,,,,,,,,,,,,
,,2,82,79,*,JF011,ねー。,,,,,,,,,,,,,,,,,,,,,
,,1,83,80,*,JF012,ねー。,,,,,,,,,,,,,,,,,,,,,
,,1,84,81,*,JF012,これ、全然会話に困るよね、<逆に>{<}<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,2,85,82,*,JF011,<全く>{>}困るよね<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,1,86,83,*,JF012,こーれー、全然進まないね<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,2,87,84-1,/,JF011,"「JF012あだ名」てさー、とか言えばいいのかな,,",,,,,,,,,,,,,,,,,,,,,
,,1,88,85,*,JF012,そうそう。,,,,,,,,,,,,,,,,,,,,,
,,2,89,84-2,*,JF011,<急に>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,90,86,*,JF012,<え、>{>}「JF011あだ名」ちゃんて前から思ってたんだけどー<2人笑い>[↑]。,,,,,,,,,,,,,,,,,,,,,
,,2,91,87,*,JF011,え、何かさー、そうやって無理やりに話し出していいのかな?。,,,,,,,,,,,,,,,,,,,,,
,,2,92,88,*,JF011,それなら、なんか多少はって(あー)感じなんだけどー。,,,,,,,,,,,,,,,,,,,,,
,,1,93,89,*,JF012,<笑い>何だろうねー。,,,,,,,,,,,,,,,,,,,,,
,,2,94,90,*,JF011,何だろうねー。,,,,,,,,,,,,,,,,,,,,,
,,1,95,91,*,JF012,[咳払い]。,,,,,,,,,,,,,,,,,,,,,
,,2,96,92,*,JF011,うん、「JF012あだ名」ーは、ゴーイング・マイ・ウェイって感じかな。,,,,,,,,,,,,,,,,,,,,,
,,1,97,93-1,/,JF012,"<笑い><「JF011あだ名」ちゃんは>{<},,",,,,,,,,,,,,,,,,,,,,,
,,2,98,94,*,JF011,<まー、そこが>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,99,93-2,*,JF012,しっかりマイ・ウェイって感じかな。,,,,,,,,,,,,,,,,,,,,,
,,2,100,95,*,JF011,えー、ほんとにー?。,,,,,,,,,,,,,,,,,,,,,
,,1,101,96,*,JF012,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,102,97,*,JF011,そうかなー。,,,,,,,,,,,,,,,,,,,,,
,,1,103,98,*,JF012,そうー、だと思う。,,,,,,,,,,,,,,,,,,,,,
,,2,104,99,*,JF011,私、しっかりマイ・ウェイ、かしら。,,,,,,,,,,,,,,,,,,,,,
,,1,105,100,*,JF012,しっかり、違うな、ちゃんとやることはやって(うんうん)、マイ・ウェイ。,,,,,,,,,,,,,,,,,,,,,
,,2,106,101,*,JF011,そうか<なー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,107,102,*,JF012,<そう>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,108,103,*,JF012,行き過ぎず。,,,,,,,,,,,,,,,,,,,,,
,,2,109,104,*,JF011,<ほんと>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,110,105,*,JF012,<うーん>{>}。,,,,,,,,,,,,,,,,,,,,,
,,2,111,106,*,JF011,《沈黙4秒》何か最近、ちょっと(うん)、ちょっと悩みがあってさー。,,,,,,,,,,,,,,,,,,,,,
,,1,112,107,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,2,113,108,*,JF011,何かねー(うん)、何かー、あ、でも[テープやカメラが]回ってるとこで話して、話すのもあれなんだよな。,,,,,,,,,,,,,,,,,,,,,
,,1,114,109,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,2,115,110,*,JF011,どうしよう。,,,,,,,,,,,,,,,,,,,,,
,,1,116,111,*,JF012,うん、いつでも<いいよ>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,117,112,*,JF011,<後で>{>}にしよう<大きな笑い>。,,,,,,,,,,,,,,,,,,,,,
,,1,118,113,*,JF012,<笑い>そうしよう。,,,,,,,,,,,,,,,,,,,,,
,,1,119,114,*,JF012,明日もあるし<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,2,120,115,*,JF011,そうだよね<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,1,121,116,*,JF012,そっかー。,,,,,,,,,,,,,,,,,,,,,
,,1,122,117,*,JF012,そうー、最近ー<大きく笑い出す>。,,,,,,,,,,,,,,,,,,,,,
,,2,123,118,*,JF011,なに?<笑い気味>。,,,,,,,,,,,,,,,,,,,,,
,,1,124,119,*,JF012,いやー、おかしいねー。,,,,,,,,,,,,,,,,,,,,,
,,1,125,120,*,JF012,####ねー。,,,,,,,,,,,,,,,,,,,,,
,,2,126,121,*,JF011,テスト終わった?、<そういえば>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,127,122,*,JF012,<あとねー>{>}、明日の2限とー(うん)、木曜2限。,,,,,,,,,,,,,,,,,,,,,
,,2,128,123,*,JF011,あ、ほ<んと>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,129,124,*,JF012,<まー>{>}、勉強しなくてもできるや<つ>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,130,125,*,JF011,<あ>{>}、ほんと。,,,,,,,,,,,,,,,,,,,,,
,,1,131,126,*,JF012,そうー。,,,,,,,,,,,,,,,,,,,,,
,,1,132,127,*,JF012,ね、木曜2限とか、先週終わらしてくれればよかった<のにー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,133,128,*,JF011,<ほんと>{>}だよねー。,,,,,,,,,,,,,,,,,,,,,
,,1,134,129,*,JF012,ね。,,,,,,,,,,,,,,,,,,,,,
,,2,135,130,*,JF011,なんで、<やってくんなかったんだろうねー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,136,131,*,JF012,<しかも、先週休講>{>}だったの。,,,,,,,,,,,,,,,,,,,,,
,,2,137,132,*,JF011,あ、そうなんだ。,,,,,,,,,,,,,,,,,,,,,
,,1,138,133,*,JF012,ありえ<ないと思わない?>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,139,134,*,JF011,<ありえないよね>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,140,135,*,JF012,どういうことよって。,,,,,,,,,,,,,,,,,,,,,
,,2,141,136,*,JF011,何を考えてるって感じ(うーん)だよね。,,,,,,,,,,,,,,,,,,,,,
,,1,142,137,*,JF012,[紙風船を膨らます音]あ、すごい。,,,,,,,,,,,,,,,,,,,,,
,,1,143,138,*,JF012,そうやって作るんだ。,,,,,,,,,,,,,,,,,,,,,
,,2,144,139,*,JF011,そう。,,,,,,,,,,,,,,,,,,,,,
,,1,145,140,*,JF012,かわ<いー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,146,141,*,JF011,<口>{>}をつけてしまいました。,,,,,,,,,,,,,,,,,,,,,
,,2,147,142,*,JF011,いぇーい。,,,,,,,,,,,,,,,,,,,,,
,,2,148,143,*,JF011,メールが来た。,,,,,,,,,,,,,,,,,,,,,
,,1,149,144,*,JF012,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,150,145,*,JF011,あーあーあ。,,,,,,,,,,,,,,,,,,,,,
,,2,151,146,*,JF011,あ、「人名2」さんだ。,,,,,,,,,,,,,,,,,,,,,
,,2,152,147,*,JF011,やっぱり、紫のさっきの。,,,,,,,,,,,,,,,,,,,,,
,,1,153,148,*,JF012,あ、そっかそっか。,,,,,,,,,,,,,,,,,,,,,
,,1,154,149,*,JF012,え、何て質問だった?。,,,,,,,,,,,,,,,,,,,,,
,,2,155,150,*,JF011,「JF011名前」さんの字が間違ってるけど。,,,,,,,,,,,,,,,,,,,,,
,,1,156,151,*,JF012,ほんとうだー。,,,,,,,,,,,,,,,,,,,,,
,,2,157,152,*,JF011,なんかー、でもちょっと微妙だったよ。,,,,,,,,,,,,,,,,,,,,,
,,2,158,153,*,JF011,なんか、“明日開いてますかー”とか言って(うん)、わたしーが、行き損ねたー(うん)、行き損ねたっていうか、“都合でいけなくなった会話実験に(うん)行ってほしんですけど”みたいなー。,,,,,,,,,,,,,,,,,,,,,
,,1,159,154,*,JF012,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,160,155,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,1,161,156,*,JF012,何時、とか?。,,,,,,,,,,,,,,,,,,,,,
,,2,162,157,*,JF011,うん?。,,,,,,,,,,,,,,,,,,,,,
,,1,163,158,*,JF012,何時にとか?。,,,,,,,,,,,,,,,,,,,,,
,,2,164,159,*,JF011,そう、“午前中にー”とか言われてー(うん)。,,,,,,,,,,,,,,,,,,,,,
,,2,165,160,*,JF011,でなんかー、それ、だけだったらさー(うんうんうん)、もし学校でとかだったらー、“来るついでならいいよ”とか(うんうんうん)言っちゃい<そうじゃん、ね、なんかさー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,166,161,*,JF012,<言っちゃいそうだよね>{>}。,,,,,,,,,,,,,,,,,,,,,
,,2,167,162-1,/,JF011,"話は全部伝わってなくてー(うん)、なんか、私が、“うーんちょっと微妙だなー”とか(<笑い>)、その、<例のネタかなとかとか>{<},,",,,,,,,,,,,,,,,,,,,,,
,,1,168,163,*,JF012,<言った‘ゆった’瞬間>{>}<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,2,169,162-2,*,JF011,そう。,,,,,,,,,,,,,,,,,,,,,
,,2,170,164,*,JF011,言ってから(うんうん)、なんかー、あーでも全然だいじょぶです、実は、ぜん、なんか“「JF011名前」さんの全く知らない男の人なんで”とか言われて(うーん)さー。,,,,,,,,,,,,,,,,,,,,,
,,2,171,165,*,JF011,あ、“そういう話でいいわけ?”と、ちょっと思っちゃった。,,,,,,,,,,,,,,,,,,,,,
,,1,172,166,*,JF012,あ、あー、なるほど<ねー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,173,167,*,JF011,<“そう>{>}いう伝え方でいいの?”、みたいな。,,,,,,,,,,,,,,,,,,,,,
,,1,174,168,*,JF012,そーっかー。,,,,,,,,,,,,,,,,,,,,,
,,1,175,169,*,JF012,大変…。,,,,,,,,,,,,,,,,,,,,,
,,1,176,170,*,JF012,そう、しかも(<笑い>)ねー、しつ、ふふふふふ<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,2,177,171,*,JF011,いや、これでいんなら、使っていいよっていう。,,,,,,,,,,,,,,,,,,,,,
,,1,178,172,*,JF012,ね。,,,,,,,,,,,,,,,,,,,,,
,,2,179,173,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,180,174,*,JF011,“微妙”とか言っちゃったよ。,,,,,,,,,,,,,,,,,,,,,
,,1,181,175,*,JF012,びーみょうー<笑いながら><2人で笑い>。,,,,,,,,,,,,,,,,,,,,,
,,1,182,176,*,JF012,えー、あたし“えー、無理ー”とか、そのまんま。,,,,,,,,,,,,,,,,,,,,,
,,2,183,177,*,JF011,でも、使っていいことにした?、それ。,,,,,,,,,,,,,,,,,,,,,
,,1,184,178,*,JF012,うん、した。,,,,,,,,,,,,,,,,,,,,,
,,2,185,179,*,JF011,あ、ほんと。,,,,,,,,,,,,,,,,,,,,,
,,1,186,180,*,JF012,でー、なんかねー、パソコンにねー、質問紙が送られてきた。,,,,,,,,,,,,,,,,,,,,,
,,2,187,181,*,JF011,あ、ほんと[少し驚いたように]。,,,,,,,,,,,,,,,,,,,,,
,,1,188,182,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,1,189,183,*,JF012,でー、5段階でー(うん)、質問、にー、抵抗感があったかないか(うん)とかさー、普段の相手の様子はおかしいかそうでないかとか。,,,,,,,,,,,,,,,,,,,,,
,,2,190,184,*,JF011,へーーー。,,,,,,,,,,,,,,,,,,,,,
,,2,191,185,*,JF011,結構、演技力を試される<2人で笑い>。,,,,,,,,,,,,,,,,,,,,,
,,1,192,186,*,JF012,ね。,,,,,,,,,,,,,,,,,,,,,
,,1,193,187,*,JF012,でも、なんか後から考えるとおかしんだよね(<笑い>)。,,,,,,,,,,,,,,,,,,,,,
,,1,194,188-1,/,JF012,"<笑い>「人名3」っちが、<なんかね>{<},,",,,,,,,,,,,,,,,,,,,,,
,,2,195,189,*,JF011,<そうだよね>{>}。,,,,,,,,,,,,,,,,,,,,,
,,1,196,188-2,*,JF012,そういうおかしい約束を(うーん)、自分からするわけないしー。,,,,,,,,,,,,,,,,,,,,,
,,2,197,190,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,1,198,191,*,JF012,今年、会話実験多いね。,,,,,,,,,,,,,,,,,,,,,
,,2,199,192,*,JF011,ねー、ほんとだよねー(<笑い>)。,,,,,,,,,,,,,,,,,,,,,
,,2,200,193,*,JF011,なんか<ほんと多いよねー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,201,194,*,JF012,<激しく多い>{>}よね。,,,,,,,,,,,,,,,,,,,,,
,,1,202,195,*,JF012,おもしろい、でも。,,,,,,,,,,,,,,,,,,,,,
,,1,203,196,*,JF012,《沈黙20秒》<2人で笑い>え、これ誰から来たの?。,,,,,,,,,,,,,,,,,,,,,
,,2,204,197,*,JF011,「人名2フルネーム」ちゃん。,,,,,,,,,,,,,,,,,,,,,
,,2,205,198,*,JF011,うーん。,,,,,,,,,,,,,,,,,,,,,
,,1,206,199,*,JF012,あ、そっか、そっか。,,,,,,,,,,,,,,,,,,,,,
,,1,207,200,*,JF012,そうなの、なんかねー、あの、たぶんアンケート用紙に、こういうねー、ほんとは何を思ってそう言ったかっていう書く欄が(うん)あるからー。,,,,,,,,,,,,,,,,,,,,,
,,2,208,201,*,JF011,あ、そうなん<だー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,209,202,*,JF012,<そう>{>}そうそう。,,,,,,,,,,,,,,,,,,,,,
,,1,210,203,*,JF012,《沈黙7秒》ねー。,,,,,,,,,,,,,,,,,,,,,
,,2,211,204,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,1,212,205,*,JF012,でもさー、本当のこと言ってるか言ってないかとかってさ、分かんない…。,,,,,,,,,,,,,,,,,,,,,
,,1,213,206,*,JF012,って、あたしは(うん)、インタビューをするときに、相手に頼んだときに(うん)言われた。,,,,,,,,,,,,,,,,,,,,,
,,2,214,207,*,JF011,<あー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,215,208,*,JF012,<相>{>}手にー、言われた。,,,,,,,,,,,,,,,,,,,,,
,,2,216,209,*,JF011,へーー。,,,,,,,,,,,,,,,,,,,,,
,,1,217,210,*,JF012,それはー、“相手が本当のこと言ってるか、あなたが見極めなきゃいけないのよ”とかいって<笑い>。,,,,,,,,,,,,,,,,,,,,,
,,2,218,211,*,JF011,えーーー[驚いたように]。,,,,,,,,,,,,,,,,,,,,,
,,1,219,212,*,JF012,確かに、とか思って<笑いながら>。,,,,,,,,,,,,,,,,,,,,,
,,1,220,213,*,JF012,みんな、型どおりのことしか言わないかもしれないしー。,,,,,,,,,,,,,,,,,,,,,
,,2,221,214,*,JF011,そうだねー。,,,,,,,,,,,,,,,,,,,,,
,,1,222,215,*,JF012,そうー。,,,,,,,,,,,,,,,,,,,,,
,,2,223,216,*,JF011,あー、<まーねー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,224,217,*,JF012,<まーまー>{>}ねー。,,,,,,,,,,,,,,,,,,,,,
,,1,225,218,*,JF012,だから、これも書かなくてもいいし、書いてもいいし。,,,,,,,,,,,,,,,,,,,,,
,,2,226,219,*,JF011,うん。,,,,,,,,,,,,,,,,,,,,,
,,2,227,220,*,JF011,《沈黙9秒》[メールを打っている音]卒論は例の、案を決行するわけ?。,,,,,,,,,,,,,,,,,,,,,
,,1,228,221,*,JF012,あ、そうそう、もう進んでる。,,,,,,,,,,,,,,,,,,,,,
,,2,229,222,*,JF011,あ、ほんと[少し驚いたように]。,,,,,,,,,,,,,,,,,,,,,
,,1,230,223,*,JF012,進んでるっていうか、いちおう本は読んでる。,,,,,,,,,,,,,,,,,,,,,
,,2,231,224,*,JF011,あ、ほんと。,,,,,,,,,,,,,,,,,,,,,
,,1,232,225,*,JF012,うーん。,,,,,,,,,,,,,,,,,,,,,
,,1,233,226,*,JF012,服装についてとか。,,,,,,,,,,,,,,,,,,,,,
,,2,234,227,*,JF011,えーー。,,,,,,,,,,,,,,,,,,,,,
,,2,235,228-1,/,JF011,"服装史みたな感じになんのかな,,",,,,,,,,,,,,,,,,,,,,,
,,1,236,229-1,/,JF012,"あっ,,",,,,,,,,,,,,,,,,,,,,,
,,2,237,228-2,*,JF011,結局。,,,,,,,,,,,,,,,,,,,,,
,,2,238,230,*,JF011,どうなんだろう。,,,,,,,,,,,,,,,,,,,,,
,,1,239,229-2,*,JF012,えーとねー、や、フェミニズムとかかなー。,,,,,,,,,,,,,,,,,,,,,
,,2,240,231,*,JF011,あーー。,,,,,,,,,,,,,,,,,,,,,
,,1,241,232,*,JF012,でー、実際にー、その、今、なんだろう、なんか、もうねー(うん)、とりあえず本読んでー(うん)、何かするまでは、次の結果がわかんないのね。,,,,,,,,,,,,,,,,,,,,,
,,2,242,233,*,JF011,あん<あんあんあん>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,243,234,*,JF012,<分かんない>{>}状況にいるから、一応いま本読んでー、で、服装ーを変えるってことはさー(うん)、なんだ[↑]、その一応日常生活でやったらー(うん)、ちょっと、みんなビックリするじゃん。,,,,,,,,,,,,,,,,,,,,,
,,2,244,235,*,JF011,うん=。,,,,,,,,,,,,,,,,,,,,,
,,1,245,236,*,JF012,=その、理由っていうのは、服装自体がもう既に性別を表してるからでー(うん)、でー、例えば服装でほんとに女の子らしく(うん)見えたらー、もしかしたら、男の子でそういう人が好きだったら好きになるかもしれないしー。,,,,,,,,,,,,,,,,,,,,,
,,2,246,237,*,JF011,うんうん、はいはいはい。,,,,,,,,,,,,,,,,,,,,,
,,1,247,238,*,JF012,っていうくらい見かけが重要でー(うん)、それを逆にしている、ときの(うん)、その相手の反応、とかを(うん)聞いてみようかなと思って。,,,,,,,,,,,,,,,,,,,,,
,,2,248,239,*,JF011,は<ーー>{<}。,,,,,,,,,,,,,,,,,,,,,
,,1,249,240,*,JF012,<実際>{>}その人がやったときの。,,,,,,,,,,,,,,,,,,,,,
,,2,250,241,*,JF011,あーー[感心したように]。,,,,,,,,,,,,,,,,,,,,,
,,1,251,242,*,JF012,それ、うん。,,,,,,,,,,,,,,,,,,,,,
,,2,252,243,*,JF011,ほー。,,,,,,,,,,,,,,,,,,,,,
,,1,253,244,*,JF012,<それしか思いついてない>{<}。,,,,,,,,,,,,,,,,,,,,,
,,2,254,245,*,JF011,<あれ、じゃあ、あれはやめた>{>}んだ。,,,,,,,,,,,,,,,,,,,,,
,,1,255,246,*,JF012,うん?。,,,,,,,,,,,,,,,,,,,,,
,,2,256,247-1,/,JF011,"おかま系の,,",,,,,,,,,,,,,,,,,,,,,
,,1,257,248-1,/,JF012,"あっ,,",,,,,,,,,,,,,,,,,,,,,
,,2,258,247-2,*,JF011,じゃなくなったの?。,,,,,,,,,,,,,,,,,,,,,
,,1,259,248-2,*,JF012,うんうん。,,,,,,,,,,,,,,,,,,,,,
